SVC_CD|MODIFIER_1|FEE|AS_OF_DATE
11462|UB|41.00|20231001
11463|UA|25.00|20231001
11463|UB|45.00|20231001
11470|UA|21.00|20231001
11470|UB|41.00|20231001
11471|UA|25.00|20231001
11471|UB|45.00|20231001
11601|UA|20.00|20231001
11601|UB|40.00|20231001
11602|UA|20.00|20231001
11602|UB|40.00|20231001
11603|UA|20.00|20231001
11603|UB|40.00|20231001
11604|UA|20.00|20231001
11604|UB|40.00|20231001
11606|UB|40.00|20231001
11606|UA|20.00|20231001
11621|UA|20.00|20231001
11621|UB|40.00|20231001
11622|UA|20.00|20231001
11622|UB|40.00|20231001
11623|UA|20.00|20231001
11623|UB|40.00|20231001
11624|UA|20.00|20231001
11624|UB|40.00|20231001
11626|UB|40.00|20231001
11626|UA|20.00|20231001
11641|UA|22.00|20231001
11641|UB|42.00|20231001
11642|UA|22.00|20231001
11642|UB|42.00|20231001
11643|UA|22.00|20231001
11643|UB|42.00|20231001
11644|UA|22.00|20231001
11644|UB|42.00|20231001
11646|UB|42.00|20231001
11646|UA|22.00|20231001
11719|UA|9.00|20231001
11719|UB|9.00|20231001
11720|UA|9.00|20231001
11720|UB|9.00|20231001
11721|UA|13.00|20231001
11721|UB|13.00|20231001
11732|UB|35.00|20231001
11732|UA|15.00|20231001
11740|UA|11.00|20231001
11740|UB|11.00|20231001
11750|UA|24.00|20231001
11750|UB|44.00|20231001
11755|UA|25.00|20231001
11755|UB|55.00|20231001
11762|UB|65.00|20231001
11762|UA|35.00|20231001
11765|UA|22.00|20231001
11765|UB|52.00|20231001
11770|UA|27.00|20231001
11770|UB|47.00|20231001
11771|UA|35.00|20231001
11771|UB|55.00|20231001
11772|UB|55.00|20231001
11772|UA|35.00|20231001
11900|UA|9.00|20231001
11900|UB|9.00|20231001
11901|UB|9.00|20231001
11901|UA|9.00|20231001
11950|UA|9.00|20231001
11950|UB|9.00|20231001
11951|UA|9.00|20231001
11951|UB|9.00|20231001
11952|UA|9.00|20231001
11952|UB|9.00|20231001
11954|UA|9.00|20231001
11954|UB|9.00|20231001
11960|UA|9.00|20231001
11960|UB|9.00|20231001
11970|UA|14.00|20231001
11970|UB|44.00|20231001
11971|UB|44.00|20231001
11971|UA|14.00|20231001
11976|UA|17.00|20231001
11976|UB|47.00|20231001
11981|UA|19.00|20231001
11981|UB|45.00|20231001
11982|UA|19.00|20231001
11982|UB|45.00|20231001
11983|UB|45.00|20231001
11983|UA|19.00|20231001
12002|UA|17.00|20231001
12002|UB|37.00|20231001
12004|UB|37.00|20231001
12004|UA|17.00|20231001
12006|UA|20.00|20231001
12006|UB|40.00|20231001
12007|UB|40.00|20231001
12007|UA|20.00|20231001
12013|UA|23.00|20231001
12013|UB|43.00|20231001
12014|UA|23.00|20231001
12014|UB|43.00|20231001
12015|UB|43.00|20231001
12015|UA|23.00|20231001
12017|UA|26.00|20231001
12017|UB|46.00|20231001
12018|UB|46.00|20231001
12018|UA|26.00|20231001
12020|UA|25.00|20231001
12020|UB|55.00|20231001
12021|UB|55.00|20231001
12021|UA|25.00|20231001
12032|UA|20.00|20231001
12032|UB|40.00|20231001
12034|UB|40.00|20231001
12034|UA|20.00|20231001
12036|UA|23.00|20231001
12036|UB|43.00|20231001
12037|UB|43.00|20231001
12037|UA|23.00|20231001
12042|UA|22.00|20231001
12042|UB|42.00|20231001
12044|UB|42.00|20231001
12044|UA|22.00|20231001
12046|UA|24.00|20231001
12046|UB|44.00|20231001
12047|UB|44.00|20231001
12047|UA|24.00|20231001
12052|UA|26.00|20231001
12052|UB|46.00|20231001
12053|UA|26.00|20231001
12053|UB|46.00|20231001
12054|UB|46.00|20231001
12054|UA|26.00|20231001
12056|UA|30.00|20231001
12056|UB|50.00|20231001
12057|UB|50.00|20231001
12057|UA|30.00|20231001
13101|UA|26.00|20231001
13101|UB|46.00|20231001
13102|UA|26.00|20231001
13102|UB|46.00|20231001
13120|UA|26.00|20231001
13120|UB|46.00|20231001
13121|UB|46.00|20231001
13121|UA|26.00|20231001
13122|UA|26.00|20231001
13122|UB|46.00|20231001
13131|UA|28.00|20231001
13131|UB|48.00|20231001
13132|UB|48.00|20231001
13132|UA|28.00|20231001
13133|UA|28.00|20231001
13133|UB|48.00|20231001
13151|UA|30.00|20231001
13151|UB|50.00|20231001
13152|UB|50.00|20231001
13152|UA|30.00|20231001
13153|UA|30.00|20231001
13153|UB|50.00|20231001
13160|UA|40.00|20231001
13160|UB|65.00|20231001
14001|UA|32.00|20231001
14001|UB|52.00|20231001
14020|UA|32.00|20231001
14020|UB|52.00|20231001
14021|UB|52.00|20231001
14021|UA|32.00|20231001
14040|UA|34.00|20231001
14040|UB|54.00|20231001
14041|UA|36.00|20231001
14041|UB|56.00|20231001
14060|UA|35.00|20231001
14060|UB|55.00|20231001
14061|UB|55.00|20231001
14061|UA|35.00|20231001
14301|UA|39.00|20231001
14301|UB|69.00|20231001
14302|UB|69.00|20231001
14302|UA|39.00|20231001
14350|UA|40.00|20231001
14350|UB|70.00|20231001
15003|UA|20.00|20231001
15003|UB|50.00|20231001
15004|UA|20.00|20231001
15004|UB|50.00|20231001
15005|UB|50.00|20231001
15005|UA|20.00|20231001
15040|UA|40.00|20231001
15040|UB|70.00|20231001
15050|UA|25.00|20231001
15050|UB|55.00|20231001
15101|UA|25.00|20231001
15101|UB|55.00|20231001
15110|UA|25.00|20231001
15110|UB|55.00|20231001
15111|UA|25.00|20231001
15111|UB|55.00|20231001
15115|UA|25.00|20231001
15115|UB|55.00|20231001
15116|UA|25.00|20231001
15116|UB|55.00|20231001
15120|UA|25.00|20231001
15120|UB|55.00|20231001
15121|UB|55.00|20231001
15121|UA|25.00|20231001
15130|UA|25.00|20231001
15130|UB|55.00|20231001
15131|UA|20.00|20231001
15131|UB|50.00|20231001
15135|UA|25.00|20231001
15135|UB|55.00|20231001
15136|UA|20.00|20231001
15136|UB|50.00|20231001
15151|UA|35.00|20231001
15151|UB|65.00|20231001
15152|UB|65.00|20231001
15152|UA|35.00|20231001
15156|UA|35.00|20231001
15156|UB|65.00|20231001
15157|UB|65.00|20231001
15157|UA|35.00|20231001
15201|UA|35.00|20231001
15201|UB|65.00|20231001
15220|UA|35.00|20231001
15220|UB|65.00|20231001
15221|UA|35.00|20231001
15221|UB|65.00|20231001
15240|UA|35.00|20231001
15240|UB|65.00|20231001
15241|UA|35.00|20231001
15241|UB|65.00|20231001
15260|UA|35.00|20231001
15260|UB|65.00|20231001
15261|UB|65.00|20231001
15261|UA|35.00|20231001
15272|UA|25.00|20231001
15272|UB|55.00|20231001
15273|UA|25.00|20231001
15273|UB|55.00|20231001
15274|UA|25.00|20231001
15274|UB|55.00|20231001
15275|UA|25.00|20231001
15275|UB|55.00|20231001
15276|UB|55.00|20231001
15276|UA|25.00|20231001
15277|UA|40.00|20231001
15277|UB|70.00|20231001
15278|UB|70.00|20231001
15278|UA|40.00|20231001
15570|UA|35.00|20231001
15570|UB|65.00|20231001
15572|UA|35.00|20231001
15572|UB|65.00|20231001
15574|UA|35.00|20231001
15574|UB|65.00|20231001
15576|UA|35.00|20231001
15576|UB|65.00|20231001
15610|UA|35.00|20231001
15610|UB|65.00|20231001
15620|UA|35.00|20231001
15620|UB|65.00|20231001
15630|UA|35.00|20231001
15630|UB|65.00|20231001
15650|UB|65.00|20231001
15650|UA|35.00|20231001
15730|UA|30.00|20231001
15730|UB|60.00|20231001
15733|UB|65.00|20231001
15733|UA|35.00|20231001
15734|UB|65.00|20231001
15734|UA|35.00|20231001
15736|UA|35.00|20231001
15736|UB|65.00|20231001
15738|UA|35.00|20231001
15738|UB|65.00|20231001
15750|UB|65.00|20231001
15750|UA|35.00|20231001
15756|UB|65.00|20231001
15756|UA|35.00|20231001
15757|UB|65.00|20231001
15757|UA|35.00|20231001
15758|UB|65.00|20231001
15758|UA|35.00|20231001
15760|UB|65.00|20231001
15760|UA|35.00|20231001
15769|UB|65.00|20231001
15769|UA|35.00|20231001
15770|UB|65.00|20231001
15770|UA|35.00|20231001
15771|UB|65.00|20231001
15771|UA|35.00|20231001
15772|UB|65.00|20231001
15772|UA|35.00|20231001
15773|UB|65.00|20231001
15773|UA|35.00|20231001
15774|UB|65.00|20231001
15774|UA|35.00|20231001
15777|UA|30.00|20231001
15777|UB|60.00|20231001
15778|UA|40.00|20231001
15778|UB|70.00|20231001
15781|UB|37.00|20231001
15781|UA|17.00|20231001
15782|UB|37.00|20231001
15782|UA|17.00|20231001
15783|UB|37.00|20231001
15783|UA|17.00|20231001
15786|UB|37.00|20231001
15786|UA|17.00|20231001
15787|UB|37.00|20231001
15787|UA|17.00|20231001
15788|UB|37.00|20231001
15788|UA|17.00|20231001
15789|UB|37.00|20231001
15789|UA|17.00|20231001
15792|UA|17.00|20231001
15792|UB|37.00|20231001
15793|UB|37.00|20231001
15793|UA|17.00|20231001
15821|UB|25.00|20231001
15821|UA|13.00|20231001
15822|UB|25.00|20231001
15822|UA|13.00|20231001
15823|UB|25.00|20231001
15823|UA|13.00|20231001
15828|UA|17.00|20231001
15828|UB|29.00|20231001
15829|UA|85.00|20231001
15829|UB|115.00|20231001
15832|UB|65.00|20231001
15832|UA|35.00|20231001
15833|UB|65.00|20231001
15833|UA|35.00|20231001
15834|UB|65.00|20231001
15834|UA|35.00|20231001
15835|UB|65.00|20231001
15835|UA|35.00|20231001
15836|UB|65.00|20231001
15836|UA|35.00|20231001
15837|UB|65.00|20231001
15837|UA|35.00|20231001
15838|UB|65.00|20231001
15838|UA|35.00|20231001
15839|UB|65.00|20231001
15839|UA|35.00|20231001
15841|UB|115.00|20231001
15841|UA|85.00|20231001
15842|UB|115.00|20231001
15842|UA|85.00|20231001
15845|UB|115.00|20231001
15845|UA|85.00|20231001
15850|UA|10.00|20231001
15850|UB|26.00|20231001
15851|UB|26.00|20231001
15851|UA|10.00|20231001
15852|UA|10.00|20231001
15852|UB|26.00|20231001
15860|UA|27.00|20231001
15860|UB|57.00|20231001
15876|UA|21.00|20231001
15876|UB|41.00|20231001
15878|UA|21.00|20231001
15878|UB|41.00|20231001
15922|UB|60.00|20231001
15922|UA|30.00|20231001
15931|UA|30.00|20231001
15931|UB|60.00|20231001
15933|UA|35.00|20231001
15933|UB|65.00|20231001
15934|UA|35.00|20231001
15934|UB|65.00|20231001
15935|UA|40.00|20231001
15935|UB|70.00|20231001
15936|UB|70.00|20231001
15936|UA|40.00|20231001
15937|UA|45.00|20231001
15937|UB|75.00|20231001
15940|UA|35.00|20231001
15940|UB|65.00|20231001
15944|UB|70.00|20231001
15944|UA|40.00|20231001
15945|UA|45.00|20231001
15945|UB|75.00|20231001
15946|UB|75.00|20231001
15946|UA|45.00|20231001
15950|UA|35.00|20231001
15950|UB|65.00|20231001
15951|UA|40.00|20231001
15951|UB|70.00|20231001
15952|UA|35.00|20231001
15952|UB|65.00|20231001
15953|UA|40.00|20231001
15953|UB|70.00|20231001
15956|UB|75.00|20231001
15956|UA|45.00|20231001
15958|UA|50.00|20231001
15958|UB|80.00|20231001
15999|UA|35.00|20231001
15999|UB|65.00|20231001
16000|UA|11.00|20231001
16000|UB|11.00|20231001
16020|UA|13.00|20231001
16020|UB|13.00|20231001
16025|UA|17.00|20231001
16025|UB|17.00|20231001
16030|UA|21.00|20231001
16030|UB|21.00|20231001
16035|UA|25.00|20231001
16035|UB|45.00|20231001
16036|UA|25.00|20231001
16036|UB|45.00|20231001
17003|UB|8.00|20231001
17003|UA|8.00|20231001
17004|UB|8.00|20231001
17004|UA|8.00|20231001
17106|UB|8.00|20231001
17106|UA|8.00|20231001
17107|UB|8.00|20231001
17107|UA|8.00|20231001
17108|UB|8.00|20231001
17108|UA|8.00|20231001
17110|UB|8.00|20231001
17110|UA|8.00|20231001
17111|UB|8.00|20231001
17111|UA|8.00|20231001
17250|UA|8.00|20231001
17250|UB|8.00|20231001
17260|UA|30.00|20231001
17260|UB|55.00|20231001
17262|UB|55.00|20231001
17262|UA|30.00|20231001
17263|UB|55.00|20231001
17263|UA|30.00|20231001
17264|UB|55.00|20231001
17264|UA|30.00|20231001
17266|UA|30.00|20231001
17266|UB|55.00|20231001
17270|UA|30.00|20231001
17270|UB|55.00|20231001
17271|UA|30.00|20231001
17271|UB|55.00|20231001
17272|UA|30.00|20231001
17272|UB|55.00|20231001
17273|UA|30.00|20231001
17273|UB|55.00|20231001
17274|UA|30.00|20231001
17274|UB|55.00|20231001
17276|UA|30.00|20231001
17276|UB|55.00|20231001
17280|UA|30.00|20231001
17280|UB|55.00|20231001
17281|UA|30.00|20231001
17281|UB|55.00|20231001
17282|UA|30.00|20231001
17282|UB|55.00|20231001
17283|UA|30.00|20231001
17283|UB|55.00|20231001
17284|UA|30.00|20231001
17284|UB|55.00|20231001
17286|UA|30.00|20231001
17286|UB|55.00|20231001
17312|UB|55.00|20231001
17312|UA|25.00|20231001
17313|UB|55.00|20231001
17313|UA|25.00|20231001
17314|UB|55.00|20231001
17314|UA|25.00|20231001
17315|UA|35.00|20231001
17315|UB|65.00|20231001
17360|UB|8.00|20231001
17360|UA|8.00|20231001
17380|UA|8.00|20231001
17380|UB|8.00|20231001
17999|UA|30.00|20231001
17999|UB|60.00|20231001
19000|UA|23.00|20231001
19000|UB|43.00|20231001
19001|UB|43.00|20231001
19001|UA|23.00|20231001
19020|UA|27.00|20231001
19020|UB|47.00|20231001
19030|UA|25.00|20231001
19030|UB|45.00|20231001
19082|UB|47.00|20231001
19082|UA|17.00|20231001
