SVC_CD|MODIFIER_1|FEE|AS_OF_DATE
27323|UA|20.00|20231001
27323|UB|50.00|20231001
27324|UA|30.00|20231001
27324|UB|60.00|20231001
27325|UA|40.00|20231001
27325|UB|70.00|20231001
27326|UB|70.00|20231001
27326|UA|40.00|20231001
27327|UA|40.00|20231001
27327|UB|70.00|20231001
27328|UA|40.00|20231001
27328|UB|70.00|20231001
27329|UA|50.00|20231001
27329|UB|80.00|20231001
27331|UB|85.00|20231001
27331|UA|55.00|20231001
27332|UB|85.00|20231001
27332|UA|55.00|20231001
27333|UB|85.00|20231001
27333|UA|55.00|20231001
27334|UB|85.00|20231001
27334|UA|55.00|20231001
27335|UB|85.00|20231001
27335|UA|55.00|20231001
27337|UA|44.00|20231001
27337|UB|74.00|20231001
27339|UA|44.00|20231001
27339|UB|74.00|20231001
27345|UB|80.00|20231001
27345|UA|50.00|20231001
27347|UA|50.00|20231001
27347|UB|80.00|20231001
27350|UA|45.00|20231001
27350|UB|75.00|20231001
27356|UB|65.00|20231001
27356|UA|35.00|20231001
27357|UB|65.00|20231001
27357|UA|35.00|20231001
27358|UB|65.00|20231001
27358|UA|35.00|20231001
27360|UA|33.00|20231001
27360|UB|63.00|20231001
27364|UA|55.00|20231001
27364|UB|85.00|20231001
27365|UB|85.00|20231001
27365|UA|55.00|20231001
27369|UA|25.00|20231001
27369|UB|25.00|20231001
27370|UB|25.00|20231001
27370|UA|25.00|20231001
27372|UA|25.00|20231001
27372|UB|55.00|20231001
27380|UA|40.00|20231001
27380|UB|70.00|20231001
27381|UA|45.00|20231001
27381|UB|75.00|20231001
27385|UA|35.00|20231001
27385|UB|65.00|20231001
27386|UA|45.00|20231001
27386|UB|75.00|20231001
27390|UA|40.00|20231001
27390|UB|70.00|20231001
27391|UB|70.00|20231001
27391|UA|40.00|20231001
27392|UA|57.00|20231001
27392|UB|102.00|20231001
27393|UA|35.00|20231001
27393|UB|65.00|20231001
27394|UB|65.00|20231001
27394|UA|35.00|20231001
27395|UA|50.00|20231001
27395|UB|95.00|20231001
27396|UA|40.00|20231001
27396|UB|70.00|20231001
27397|UA|55.00|20231001
27397|UB|85.00|20231001
27400|UA|61.00|20231001
27400|UB|90.00|20231001
27403|UA|45.00|20231001
27403|UB|75.00|20231001
27407|UB|90.00|20231001
27407|UA|61.00|20231001
27409|UB|90.00|20231001
27409|UA|61.00|20231001
27412|UA|50.00|20231001
27412|UB|80.00|20231001
27415|UA|50.00|20231001
27415|UB|80.00|20231001
27416|UB|80.00|20231001
27416|UA|50.00|20231001
27418|UA|65.00|20231001
27418|UB|95.00|20231001
27422|UB|90.00|20231001
27422|UA|61.00|20231001
27424|UB|90.00|20231001
27424|UA|61.00|20231001
27425|UA|55.00|20231001
27425|UB|85.00|20231001
27427|UA|61.00|20231001
27427|UB|90.00|20231001
27428|UA|70.00|20231001
27428|UB|100.00|20231001
27429|UB|100.00|20231001
27429|UA|70.00|20231001
27430|UA|65.00|20231001
27430|UB|95.00|20231001
27435|UA|61.00|20231001
27435|UB|90.00|20231001
27437|UA|65.00|20231001
27437|UB|95.00|20231001
27438|UA|95.00|20231001
27438|UB|125.00|20231001
27440|UA|45.00|20231001
27440|UB|75.00|20231001
27441|UA|61.00|20231001
27441|UB|90.00|20231001
27442|UA|50.00|20231001
27442|UB|80.00|20231001
27443|UA|61.00|20231001
27443|UB|90.00|20231001
27445|UA|65.00|20231001
27445|UB|95.00|20231001
27446|UA|61.00|20231001
27446|UB|90.00|20231001
27447|UA|65.00|20231001
27447|UB|95.00|20231001
27450|UB|90.00|20231001
27450|UA|61.00|20231001
27454|UB|90.00|20231001
27454|UA|61.00|20231001
27455|UB|90.00|20231001
27455|UA|61.00|20231001
27457|UB|90.00|20231001
27457|UA|61.00|20231001
27465|UB|90.00|20231001
27465|UA|61.00|20231001
27466|UB|90.00|20231001
27466|UA|61.00|20231001
27468|UA|70.00|20231001
27468|UB|100.00|20231001
27470|UA|61.00|20231001
27470|UB|90.00|20231001
27472|UA|70.00|20231001
27472|UB|100.00|20231001
27477|UB|85.00|20231001
27477|UA|55.00|20231001
27479|UB|85.00|20231001
27479|UA|55.00|20231001
27485|UB|85.00|20231001
27485|UA|55.00|20231001
27486|UA|61.00|20231001
27486|UB|90.00|20231001
27487|UA|65.00|20231001
27487|UB|95.00|20231001
27488|UB|95.00|20231001
27488|UA|65.00|20231001
27496|UB|80.00|20231001
27496|UA|50.00|20231001
27497|UB|80.00|20231001
27497|UA|50.00|20231001
27498|UB|80.00|20231001
27498|UA|50.00|20231001
27499|UB|80.00|20231001
27499|UA|50.00|20231001
27500|UA|20.00|20231001
27500|UB|50.00|20231001
27501|UA|50.00|20231001
27501|UB|80.00|20231001
27502|UA|25.00|20231001
27502|UB|55.00|20231001
27503|UA|40.00|20231001
27503|UB|70.00|20231001
27506|UA|50.00|20231001
27506|UB|80.00|20231001
27507|UB|80.00|20231001
27507|UA|50.00|20231001
27508|UA|20.00|20231001
27508|UB|50.00|20231001
27509|UA|40.00|20231001
27509|UB|70.00|20231001
27510|UA|25.00|20231001
27510|UB|55.00|20231001
27511|UA|50.00|20231001
27511|UB|80.00|20231001
27513|UA|50.00|20231001
27513|UB|80.00|20231001
27514|UB|80.00|20231001
27514|UA|50.00|20231001
27516|UA|20.00|20231001
27516|UB|50.00|20231001
27517|UA|25.00|20231001
27517|UB|55.00|20231001
27519|UA|50.00|20231001
27519|UB|80.00|20231001
27520|UA|15.00|20231001
27520|UB|35.00|20231001
27524|UB|65.00|20231001
27524|UA|35.00|20231001
27530|UA|17.00|20231001
27530|UB|17.00|20231001
27532|UA|17.00|20231001
27532|UB|37.00|20231001
27535|UB|65.00|20231001
27535|UA|35.00|20231001
27536|UB|65.00|20231001
27536|UA|35.00|20231001
27538|UA|17.00|20231001
27538|UB|37.00|20231001
27540|UA|40.00|20231001
27540|UB|70.00|20231001
27550|UA|15.00|20231001
27550|UB|35.00|20231001
27552|UA|15.00|20231001
27552|UB|35.00|20231001
27556|UB|70.00|20231001
27556|UA|40.00|20231001
27557|UB|70.00|20231001
27557|UA|40.00|20231001
27558|UA|45.00|20231001
27558|UB|75.00|20231001
27560|UA|11.00|20231001
27560|UB|11.00|20231001
27562|UA|11.00|20231001
27562|UB|41.00|20231001
27566|UA|45.00|20231001
27566|UB|75.00|20231001
27570|UA|25.00|20231001
27570|UB|55.00|20231001
27580|UA|50.00|20231001
27580|UB|80.00|20231001
27591|UB|125.00|20231001
27591|UA|95.00|20231001
27592|UB|125.00|20231001
27592|UA|95.00|20231001
27594|UA|40.00|20231001
27594|UB|70.00|20231001
27596|UA|95.00|20231001
27596|UB|125.00|20231001
27598|UA|85.00|20231001
27598|UB|115.00|20231001
27599|UA|35.00|20231001
27599|UB|65.00|20231001
27601|UB|55.00|20231001
27601|UA|25.00|20231001
27602|UB|55.00|20231001
27602|UA|25.00|20231001
27603|UA|25.00|20231001
27603|UB|45.00|20231001
27604|UB|45.00|20231001
27604|UA|25.00|20231001
27605|UA|20.00|20231001
27605|UB|20.00|20231001
27606|UA|20.00|20231001
27606|UB|50.00|20231001
27607|UA|25.00|20231001
27607|UB|45.00|20231001
27612|UB|65.00|20231001
27612|UA|35.00|20231001
27613|UA|25.00|20231001
27613|UB|55.00|20231001
27614|UA|30.00|20231001
27614|UB|60.00|20231001
27615|UA|40.00|20231001
27615|UB|70.00|20231001
27616|UA|44.00|20231001
27616|UB|74.00|20231001
27618|UA|45.00|20231001
27618|UB|75.00|20231001
27619|UB|75.00|20231001
27619|UA|45.00|20231001
27625|UB|75.00|20231001
27625|UA|45.00|20231001
27626|UA|50.00|20231001
27626|UB|80.00|20231001
27630|UA|50.00|20231001
27630|UB|80.00|20231001
27632|UA|49.00|20231001
27632|UB|79.00|20231001
27634|UA|49.00|20231001
27634|UB|79.00|20231001
27635|UA|40.00|20231001
27635|UB|70.00|20231001
27637|UA|50.00|20231001
27637|UB|80.00|20231001
27638|UA|40.00|20231001
27638|UB|70.00|20231001
27640|UA|40.00|20231001
27640|UB|70.00|20231001
27641|UB|70.00|20231001
27641|UA|40.00|20231001
27646|UB|70.00|20231001
27646|UA|40.00|20231001
27647|UB|70.00|20231001
27647|UA|40.00|20231001
27648|UA|30.00|20231001
27648|UB|60.00|20231001
27652|UB|55.00|20231001
27652|UA|25.00|20231001
27654|UB|55.00|20231001
27654|UA|25.00|20231001
27656|UA|19.00|20231001
27656|UB|39.00|20231001
27659|UB|60.00|20231001
27659|UA|30.00|20231001
27664|UB|60.00|20231001
27664|UA|30.00|20231001
27665|UB|60.00|20231001
27665|UA|30.00|20231001
27675|UB|60.00|20231001
27675|UA|30.00|20231001
27676|UA|40.00|20231001
27676|UB|70.00|20231001
27680|UA|27.00|20231001
27680|UB|57.00|20231001
27681|UB|57.00|20231001
27681|UA|27.00|20231001
27685|UA|61.00|20231001
27685|UB|90.00|20231001
27686|UB|90.00|20231001
27686|UA|61.00|20231001
27687|UA|61.00|20231001
27687|UB|90.00|20231001
27691|UB|90.00|20231001
27691|UA|61.00|20231001
27692|UB|90.00|20231001
27692|UA|61.00|20231001
27696|UB|90.00|20231001
27696|UA|61.00|20231001
27698|UB|90.00|20231001
27698|UA|61.00|20231001
27702|UB|90.00|20231001
27702|UA|61.00|20231001
27703|UA|75.00|20231001
27703|UB|105.00|20231001
27704|UA|35.00|20231001
27704|UB|65.00|20231001
27707|UB|65.00|20231001
27707|UA|35.00|20231001
27709|UB|65.00|20231001
27709|UA|35.00|20231001
27712|UA|50.00|20231001
27712|UB|80.00|20231001
27715|UA|61.00|20231001
27715|UB|90.00|20231001
27720|UA|45.00|20231001
27720|UB|75.00|20231001
27724|UB|85.00|20231001
27724|UA|55.00|20231001
27725|UB|85.00|20231001
27725|UA|55.00|20231001
27726|UA|60.00|20231001
27726|UB|90.00|20231001
27727|UA|45.00|20231001
27727|UB|75.00|20231001
27732|UB|75.00|20231001
27732|UA|45.00|20231001
27734|UB|75.00|20231001
27734|UA|45.00|20231001
27740|UB|75.00|20231001
27740|UA|45.00|20231001
27742|UB|75.00|20231001
27742|UA|45.00|20231001
27745|UA|40.00|20231001
27745|UB|70.00|20231001
27752|UB|35.00|20231001
27752|UA|15.00|20231001
27756|UB|70.00|20231001
27756|UA|40.00|20231001
27758|UA|45.00|20231001
27758|UB|75.00|20231001
27759|UA|45.00|20231001
27759|UB|75.00|20231001
27760|UA|15.00|20231001
27760|UB|15.00|20231001
27762|UA|17.00|20231001
27762|UB|37.00|20231001
27766|UB|70.00|20231001
27766|UA|40.00|20231001
27767|UA|15.00|20231001
27767|UB|15.00|20231001
27768|UA|17.00|20231001
27768|UB|37.00|20231001
27769|UA|40.00|20231001
27769|UB|70.00|20231001
27780|UA|15.00|20231001
27780|UB|15.00|20231001
27781|UA|15.00|20231001
27781|UB|15.00|20231001
27784|UB|70.00|20231001
27784|UA|40.00|20231001
27786|UA|10.00|20231001
27786|UB|10.00|20231001
27788|UA|13.00|20231001
27788|UB|43.00|20231001
27792|UB|75.00|20231001
27792|UA|45.00|20231001
27810|UB|50.00|20231001
27810|UA|20.00|20231001
27814|UB|80.00|20231001
27814|UA|50.00|20231001
27818|UB|50.00|20231001
27818|UA|20.00|20231001
27822|UB|80.00|20231001
27822|UA|50.00|20231001
27823|UB|80.00|20231001
27823|UA|50.00|20231001
27824|UA|20.00|20231001
27824|UB|50.00|20231001
27825|UA|20.00|20231001
27825|UB|50.00|20231001
27826|UA|50.00|20231001
27826|UB|80.00|20231001
27827|UA|50.00|20231001
27827|UB|80.00|20231001
27828|UA|50.00|20231001
27828|UB|80.00|20231001
27829|UA|50.00|20231001
27829|UB|80.00|20231001
27830|UA|40.00|20231001
27830|UB|70.00|20231001
27831|UA|40.00|20231001
27831|UB|70.00|20231001
27832|UA|40.00|20231001
27832|UB|70.00|20231001
27840|UA|15.00|20231001
27840|UB|15.00|20231001
27842|UA|15.00|20231001
27842|UB|35.00|20231001
27846|UB|70.00|20231001
27846|UA|40.00|20231001
27848|UA|40.00|20231001
27848|UB|70.00|20231001
27860|UA|45.00|20231001
27860|UB|75.00|20231001
27870|UA|50.00|20231001
27870|UB|80.00|20231001
27871|UB|80.00|20231001
27871|UA|50.00|20231001
27880|UA|95.00|20231001
27880|UB|125.00|20231001
27881|UA|35.00|20231001
27881|UB|65.00|20231001
27882|UA|95.00|20231001
27882|UB|125.00|20231001
27884|UA|25.00|20231001
27884|UB|55.00|20231001
27886|UA|65.00|20231001
27886|UB|95.00|20231001
27888|UA|75.00|20231001
27888|UB|105.00|20231001
27889|UA|65.00|20231001
27889|UB|95.00|20231001
27893|UB|75.00|20231001
27893|UA|45.00|20231001
27894|UB|75.00|20231001
27894|UA|45.00|20231001
27899|UA|45.00|20231001
27899|UB|75.00|20231001
28001|UA|23.00|20231001
28001|UB|53.00|20231001
28002|UB|53.00|20231001
28002|UA|23.00|20231001
28005|UB|60.00|20231001
28005|UA|30.00|20231001
28008|UA|25.00|20231001
28008|UB|55.00|20231001
28010|UA|25.00|20231001
28010|UB|55.00|20231001
28011|UB|55.00|20231001
28011|UA|25.00|20231001
28022|UB|65.00|20231001
28022|UA|35.00|20231001
28024|UB|65.00|20231001
28024|UA|35.00|20231001
28035|UA|29.00|20231001
28035|UB|59.00|20231001
28039|UA|38.00|20231001
28039|UB|68.00|20231001
28041|UA|44.00|20231001
28041|UB|74.00|20231001
28043|UA|35.00|20231001
28043|UB|65.00|20231001
28045|UA|40.00|20231001
28045|UB|70.00|20231001
28046|UA|50.00|20231001
28046|UB|80.00|20231001
28047|UA|55.00|20231001
28047|UB|85.00|20231001
28052|UB|70.00|20231001
28052|UA|40.00|20231001
28054|UB|70.00|20231001
28054|UA|40.00|20231001
28055|UA|30.00|20231001
28055|UB|60.00|20231001
28062|UB|75.00|20231001
28062|UA|45.00|20231001
28072|UB|80.00|20231001
28072|UA|50.00|20231001
28080|UA|50.00|20231001
28080|UB|80.00|20231001
28088|UB|80.00|20231001
28088|UA|50.00|20231001
28090|UA|50.00|20231001
28090|UB|80.00|20231001
28092|UA|45.00|20231001
28092|UB|80.00|20231001
28100|UA|45.00|20231001
28100|UB|80.00|20231001
28102|UA|55.00|20231001
28102|UB|85.00|20231001
28103|UA|50.00|20231001
28103|UB|80.00|20231001
28104|UA|45.00|20231001
28104|UB|80.00|20231001
28106|UA|55.00|20231001
28106|UB|85.00|20231001
28107|UA|50.00|20231001
28107|UB|80.00|20231001
28108|UA|45.00|20231001
28108|UB|75.00|20231001
28110|UA|50.00|20231001
28110|UB|80.00|20231001
28112|UB|80.00|20231001
28112|UA|50.00|20231001
28113|UB|80.00|20231001
28113|UA|50.00|20231001
28114|UB|80.00|20231001
28114|UA|50.00|20231001
28118|UB|79.00|20231001
28118|UA|49.00|20231001
28119|UB|79.00|20231001
28119|UA|49.00|20231001
28122|UB|65.00|20231001
28122|UA|35.00|20231001
28124|UB|65.00|20231001
28124|UA|35.00|20231001
28126|UB|65.00|20231001
28126|UA|35.00|20231001
28130|UA|40.00|20231001
28130|UB|70.00|20231001
28140|UA|50.00|20231001
28140|UB|80.00|20231001
28150|UA|40.00|20231001
28150|UB|70.00|20231001
28153|UA|40.00|20231001
28153|UB|70.00|20231001
28160|UA|40.00|20231001
28160|UB|70.00|20231001
28173|UB|75.00|20231001
28173|UA|45.00|20231001
28175|UB|75.00|20231001
28175|UA|45.00|20231001
28190|UA|35.00|20231001
28190|UB|65.00|20231001
28192|UA|40.00|20231001
28192|UB|70.00|20231001
28193|UA|40.00|20231001
28193|UB|70.00|20231001
28202|UB|80.00|20231001
28202|UA|50.00|20231001
28208|UB|80.00|20231001
28208|UA|50.00|20231001
28210|UB|80.00|20231001
28210|UA|50.00|20231001
28222|UB|75.00|20231001
28222|UA|45.00|20231001
28225|UB|75.00|20231001
28225|UA|45.00|20231001
28226|UB|75.00|20231001
28226|UA|45.00|20231001
28232|UB|75.00|20231001
28232|UA|45.00|20231001
28234|UB|75.00|20231001
28234|UA|45.00|20231001
28238|UA|45.00|20231001
28238|UB|75.00|20231001
28240|UA|30.00|20231001
28240|UB|60.00|20231001
28250|UA|45.00|20231001
28250|UB|75.00|20231001
28261|UB|85.00|20231001
28261|UA|55.00|20231001
28262|UB|85.00|20231001
28262|UA|55.00|20231001
28264|UB|85.00|20231001
28264|UA|55.00|20231001
28270|UA|55.00|20231001
28270|UB|85.00|20231001
28272|UA|45.00|20231001
28272|UB|75.00|20231001
28280|UA|50.00|20231001
28280|UB|80.00|20231001
28285|UA|50.00|20231001
28285|UB|80.00|20231001
28286|UB|80.00|20231001
28286|UA|50.00|20231001
28288|UA|50.00|20231001
28288|UB|80.00|20231001
28289|UA|45.00|20231001
28289|UB|75.00|20231001
28291|UB|70.00|20231001
28291|UA|40.00|20231001
28292|UB|70.00|20231001
28292|UA|40.00|20231001
28295|UB|75.00|20231001
28295|UA|45.00|20231001
28296|UB|75.00|20231001
28296|UA|45.00|20231001
28297|UB|75.00|20231001
28297|UA|45.00|20231001
28298|UB|75.00|20231001
28298|UA|45.00|20231001
28299|UA|65.00|20231001
28299|UB|95.00|20231001
28302|UB|80.00|20231001
28302|UA|50.00|20231001
28304|UB|80.00|20231001
28304|UA|50.00|20231001
28305|UB|80.00|20231001
28305|UA|50.00|20231001
28306|UB|80.00|20231001
28306|UA|50.00|20231001
28307|UB|80.00|20231001
28307|UA|50.00|20231001
28308|UB|80.00|20231001
28308|UA|50.00|20231001
28309|UB|80.00|20231001
28309|UA|50.00|20231001
28310|UB|80.00|20231001
28310|UA|50.00|20231001
28312|UB|80.00|20231001
28312|UA|50.00|20231001
28313|UA|50.00|20231001
28313|UB|80.00|20231001
28315|UA|50.00|20231001
28315|UB|80.00|20231001
28322|UB|80.00|20231001
28322|UA|50.00|20231001
28341|UB|80.00|20231001
28341|UA|50.00|20231001
28344|UB|80.00|20231001
28344|UA|50.00|20231001
28345|UB|80.00|20231001
28345|UA|50.00|20231001
28360|UA|50.00|20231001
28360|UB|80.00|20231001
28400|UA|15.00|20231001
28400|UB|15.00|20231001
28405|UA|20.00|20231001
28405|UB|50.00|20231001
28406|UB|50.00|20231001
28406|UA|20.00|20231001
28415|UB|80.00|20231001
28415|UA|50.00|20231001
28420|UB|80.00|20231001
28420|UA|50.00|20231001
28435|UB|50.00|20231001
28435|UA|20.00|20231001
28436|UA|30.00|20231001
28436|UB|60.00|20231001
28445|UA|40.00|20231001
28445|UB|70.00|20231001
28446|UB|70.00|20231001
28446|UA|40.00|20231001
28455|UB|50.00|20231001
28455|UA|20.00|20231001
28456|UA|30.00|20231001
28456|UB|60.00|20231001
28465|UB|80.00|20231001
28465|UA|50.00|20231001
28470|UA|15.00|20231001
28470|UB|15.00|20231001
28475|UA|20.00|20231001
28475|UB|50.00|20231001
28476|UA|30.00|20231001
28476|UB|60.00|20231001
28485|UB|70.00|20231001
28485|UA|40.00|20231001
28490|UA|15.00|20231001
28490|UB|15.00|20231001
28495|UA|15.00|20231001
28495|UB|35.00|20231001
28496|UA|30.00|20231001
28496|UB|60.00|20231001
28505|UB|70.00|20231001
28505|UA|40.00|20231001
28510|UA|11.00|20231001
28510|UB|11.00|20231001
28515|UA|20.00|20231001
28515|UB|20.00|20231001
28525|UB|65.00|20231001
28525|UA|35.00|20231001
28530|UA|15.00|20231001
28530|UB|15.00|20231001
28531|UA|45.00|20231001
28531|UB|75.00|20231001
28540|UA|13.00|20231001
28540|UB|13.00|20231001
28545|UA|15.00|20231001
28545|UB|35.00|20231001
28546|UA|45.00|20231001
28546|UB|75.00|20231001
28555|UB|75.00|20231001
28555|UA|45.00|20231001
28570|UA|13.00|20231001
28570|UB|13.00|20231001
28575|UA|13.00|20231001
28575|UB|35.00|20231001
28576|UA|45.00|20231001
28576|UB|75.00|20231001
28585|UA|40.00|20231001
28585|UB|70.00|20231001
28600|UA|15.00|20231001
28600|UB|15.00|20231001
28605|UA|45.00|20231001
28605|UB|75.00|20231001
28606|UA|45.00|20231001
28606|UB|75.00|20231001
28615|UB|70.00|20231001
28615|UA|40.00|20231001
28630|UA|17.00|20231001
28630|UB|17.00|20231001
28635|UA|17.00|20231001
28635|UB|37.00|20231001
28636|UA|45.00|20231001
28636|UB|75.00|20231001
28645|UB|70.00|20231001
28645|UA|40.00|20231001
28660|UA|17.00|20231001
28660|UB|17.00|20231001
28665|UA|29.00|20231001
28665|UB|59.00|20231001
28666|UA|29.00|20231001
28666|UB|59.00|20231001
28675|UB|65.00|20231001
28675|UA|35.00|20231001
28705|UA|40.00|20231001
28705|UB|70.00|20231001
28715|UA|50.00|20231001
28715|UB|80.00|20231001
28725|UA|40.00|20231001
28725|UB|70.00|20231001
28735|UB|75.00|20231001
28735|UA|45.00|20231001
28737|UA|45.00|20231001
28737|UB|75.00|20231001
28740|UA|35.00|20231001
28740|UB|65.00|20231001
28755|UB|70.00|20231001
28755|UA|40.00|20231001
28760|UB|70.00|20231001
28760|UA|40.00|20231001
28805|UB|80.00|20231001
28805|UA|50.00|20231001
28820|UB|75.00|20231001
28820|UA|45.00|20231001
28825|UB|75.00|20231001
28825|UA|45.00|20231001
28890|UA|25.00|20231001
28890|UB|55.00|20231001
28899|UA|40.00|20231001
28899|UB|70.00|20231001
29000|UA|30.00|20231001
29000|UB|55.00|20231001
29010|UA|30.00|20231001
29010|UB|55.00|20231001
29015|UA|35.00|20231001
29015|UB|60.00|20231001
29035|UA|25.00|20231001
29035|UB|50.00|20231001
29040|UA|30.00|20231001
29040|UB|55.00|20231001
29044|UA|35.00|20231001
29044|UB|60.00|20231001
29046|UA|40.00|20231001
29046|UB|65.00|20231001
29049|UA|12.00|20231001
29049|UB|37.00|20231001
29055|UA|17.00|20231001
29055|UB|38.00|20231001
29058|UA|15.00|20231001
29058|UB|40.00|20231001
29065|UA|11.00|20231001
29065|UB|36.00|20231001
29075|UA|10.00|20231001
29075|UB|35.00|20231001
29085|UA|11.00|20231001
29085|UB|36.00|20231001
29086|UA|65.00|20231001
29086|UB|95.00|20231001
29105|UA|11.00|20231001
29105|UB|36.00|20231001
29125|UA|10.00|20231001
29125|UB|35.00|20231001
29126|UB|35.00|20231001
29126|UA|10.00|20231001
29130|UA|11.00|20231001
29130|UB|31.00|20231001
29131|UA|11.00|20231001
29131|UB|31.00|20231001
29240|UB|35.00|20231001
29240|UA|15.00|20231001
29260|UB|35.00|20231001
29260|UA|15.00|20231001
29280|UB|35.00|20231001
29280|UA|15.00|20231001
29305|UA|17.00|20231001
29305|UB|42.00|20231001
29325|UA|21.00|20231001
29325|UB|46.00|20231001
29345|UA|19.00|20231001
29345|UB|44.00|20231001
29355|UA|16.00|20231001
29355|UB|41.00|20231001
29358|UA|35.00|20231001
29358|UB|65.00|20231001
29365|UA|18.00|20231001
29365|UB|38.00|20231001
29405|UA|16.00|20231001
29405|UB|41.00|20231001
29425|UA|13.00|20231001
29425|UB|33.00|20231001
29435|UA|18.00|20231001
29435|UB|43.00|20231001
29440|UA|9.00|20231001
29440|UB|29.00|20231001
29445|UA|18.00|20231001
29445|UB|43.00|20231001
29450|UA|13.00|20231001
29450|UB|38.00|20231001
29505|UA|11.00|20231001
29505|UB|31.00|20231001
29515|UA|11.00|20231001
29515|UB|31.00|20231001
29530|UB|11.00|20231001
29530|UA|11.00|20231001
29540|UB|11.00|20231001
29540|UA|11.00|20231001
29550|UB|11.00|20231001
29550|UA|11.00|20231001
29581|UB|30.00|20231001
29581|UA|10.00|20231001
29584|UB|30.00|20231001
29584|UA|10.00|20231001
29705|UB|30.00|20231001
29705|UA|10.00|20231001
29710|UB|30.00|20231001
29710|UA|10.00|20231001
29720|UA|13.00|20231001
29720|UB|13.00|20231001
29740|UB|7.00|20231001
29740|UA|7.00|20231001
29750|UB|7.00|20231001
29750|UA|7.00|20231001
29799|UA|17.00|20231001
29799|UB|42.00|20231001
29800|UA|11.00|20231001
29800|UB|36.00|20231001
29804|UA|11.00|20231001
29804|UB|36.00|20231001
29805|UA|11.00|20231001
29805|UB|36.00|20231001
29806|UA|11.00|20231001
29806|UB|36.00|20231001
29807|UA|11.00|20231001
29807|UB|36.00|20231001
29819|UB|85.00|20231001
29819|UA|55.00|20231001
29820|UB|85.00|20231001
29820|UA|55.00|20231001
29821|UB|85.00|20231001
29821|UA|55.00|20231001
29822|UB|85.00|20231001
29822|UA|55.00|20231001
29823|UB|85.00|20231001
29823|UA|55.00|20231001
29824|UA|65.00|20231001
29824|UB|95.00|20231001
29825|UA|70.00|20231001
29825|UB|100.00|20231001
29826|UA|65.00|20231001
29826|UB|95.00|20231001
29827|UA|65.00|20231001
29827|UB|95.00|20231001
29828|UA|35.00|20231001
29828|UB|65.00|20231001
29834|UB|85.00|20231001
29834|UA|55.00|20231001
29835|UB|85.00|20231001
29835|UA|55.00|20231001
29836|UB|85.00|20231001
29836|UA|55.00|20231001
29837|UB|85.00|20231001
29837|UA|55.00|20231001
29838|UB|85.00|20231001
29838|UA|55.00|20231001
29840|UB|85.00|20231001
29840|UA|55.00|20231001
29843|UB|85.00|20231001
29843|UA|55.00|20231001
29844|UB|85.00|20231001
29844|UA|55.00|20231001
29845|UB|85.00|20231001
29845|UA|55.00|20231001
29846|UB|85.00|20231001
29846|UA|55.00|20231001
29847|UB|85.00|20231001
29847|UA|55.00|20231001
29848|UA|55.00|20231001
29848|UB|85.00|20231001
29850|UA|55.00|20231001
29850|UB|85.00|20231001
29851|UA|55.00|20231001
29851|UB|85.00|20231001
29855|UA|55.00|20231001
29855|UB|85.00|20231001
29856|UB|85.00|20231001
29856|UA|55.00|20231001
29861|UB|95.00|20231001
29861|UA|65.00|20231001
29862|UB|95.00|20231001
29862|UA|65.00|20231001
29863|UB|95.00|20231001
29863|UA|65.00|20231001
29867|UB|95.00|20231001
29867|UA|65.00|20231001
29868|UB|95.00|20231001
29868|UA|65.00|20231001
29870|UA|65.00|20231001
29870|UB|95.00|20231001
29873|UB|95.00|20231001
29873|UA|65.00|20231001
29874|UB|95.00|20231001
29874|UA|65.00|20231001
29875|UB|95.00|20231001
29875|UA|65.00|20231001
29876|UB|95.00|20231001
29876|UA|65.00|20231001
29877|UB|95.00|20231001
29877|UA|65.00|20231001
29879|UB|95.00|20231001
29879|UA|65.00|20231001
29880|UB|95.00|20231001
29880|UA|65.00|20231001
29881|UA|70.00|20231001
29881|UB|100.00|20231001
29883|UB|95.00|20231001
29883|UA|65.00|20231001
29884|UB|95.00|20231001
29884|UA|65.00|20231001
29885|UB|95.00|20231001
29885|UA|65.00|20231001
29886|UB|95.00|20231001
29886|UA|65.00|20231001
29887|UB|95.00|20231001
29887|UA|65.00|20231001
29888|UA|65.00|20231001
29888|UB|95.00|20231001
29889|UB|95.00|20231001
29889|UA|65.00|20231001
29891|UA|70.00|20231001
29891|UB|100.00|20231001
29892|UA|70.00|20231001
29892|UB|100.00|20231001
29893|UA|45.00|20231001
29893|UB|75.00|20231001
29895|UB|90.00|20231001
29895|UA|61.00|20231001
29897|UB|90.00|20231001
29897|UA|61.00|20231001
29898|UB|90.00|20231001
29898|UA|61.00|20231001
29899|UA|61.00|20231001
29899|UB|90.00|20231001
29901|UB|95.00|20231001
29901|UA|65.00|20231001
29902|UB|95.00|20231001
29902|UA|65.00|20231001
29905|UB|95.00|20231001
29905|UA|65.00|20231001
29906|UB|95.00|20231001
29906|UA|65.00|20231001
29907|UB|95.00|20231001
29907|UA|65.00|20231001
29915|UB|95.00|20231001
29915|UA|65.00|20231001
29916|UB|95.00|20231001
29916|UA|65.00|20231001
29999|UA|55.00|20231001
29999|UB|85.00|20231001
30020|UB|47.00|20231001
30020|UA|17.00|20231001
30100|UA|17.00|20231001
30100|UB|47.00|20231001
30110|UA|17.00|20231001
30110|UB|17.00|20231001
30115|UA|25.00|20231001
