SVC_CD|MODIFIER_1|FEE|ASOFDATE
0499T|UA|35.0|20250101
0499T|UB|65.0|20250101
0581T|UB|40.0|20250101
0581T|UA|15.0|20250101
0660T|UB|35.0|20250101
0660T|UA|25.0|20250101
0661T|UA|25.0|20250101
0661T|UB|35.0|20250101
0714T|UB|65.0|20250101
0714T|UA|35.0|20250101
0715T|UA|25.0|20250101
0715T|UB|55.0|20250101
0717T|UB|65.0|20250101
0717T|UA|35.0|20250101
0718T|UB|35.0|20250101
0718T|UA|15.0|20250101
0719T|UB|60.0|20250101
0719T|UA|30.0|20250101
0725T|UB|75.0|20250101
0725T|UA|45.0|20250101
0726T|UB|75.0|20250101
0726T|UA|45.0|20250101
0727T|UA|45.0|20250101
0727T|UB|75.0|20250101
0730T|UB|65.0|20250101
0730T|UA|35.0|20250101
0735T|UB|80.0|20250101
0735T|UA|50.0|20250101
0737T|UB|80.0|20250101
0737T|UA|50.0|20250101
0739T|UA|35.0|20250101
0739T|UB|65.0|20250101
0744T|UB|70.0|20250101
0744T|UA|40.0|20250101
0745T|UA|165.0|20250101
0745T|UB|195.0|20250101
0746T|UB|195.0|20250101
0746T|UA|165.0|20250101
0747T|UB|195.0|20250101
0747T|UA|165.0|20250101
0748T|UB|15.0|20250101
0748T|UA|12.0|20250101
0775T|UA|95.0|20250101
0775T|UB|125.0|20250101
0781T|UB|40.0|20250101
0781T|UA|15.0|20250101
0782T|UA|15.0|20250101
0782T|UB|40.0|20250101
0867T|UB|65.0|20250101
0867T|UA|35.0|20250101
0869T|UA|12.0|20250101
0869T|UB|15.0|20250101
0870T|UA|55.0|20250101
0870T|UB|85.0|20250101
0871T|UA|55.0|20250101
0871T|UB|85.0|20250101
0872T|UB|85.0|20250101
0872T|UA|55.0|20250101
0873T|UB|60.0|20250101
0873T|UA|30.0|20250101
0874T|UB|47.0|20250101
0874T|UA|17.0|20250101
0884T|UB|40.0|20250101
0884T|UA|20.0|20250101
0885T|UB|55.0|20250101
0885T|UA|25.0|20250101
0886T|UB|55.0|20250101
0886T|UA|25.0|20250101
0901T|UA|17.0|20250101
0901T|UB|47.0|20250101
0908T|UB|60.0|20250101
0908T|UA|30.0|20250101
0909T|UA|30.0|20250101
0909T|UB|60.0|20250101
0910T|UA|30.0|20250101
0910T|UB|60.0|20250101
0915T|UB|95.0|20250101
0915T|UA|65.0|20250101
0916T|UB|95.0|20250101
0916T|UA|65.0|20250101
0917T|UA|65.0|20250101
0917T|UB|95.0|20250101
0918T|UA|65.0|20250101
0918T|UB|95.0|20250101
0919T|UA|65.0|20250101
0919T|UB|95.0|20250101
0920T|UA|65.0|20250101
0920T|UB|95.0|20250101
0921T|UB|95.0|20250101
0921T|UA|65.0|20250101
0922T|UB|95.0|20250101
0922T|UA|65.0|20250101
0923T|UA|65.0|20250101
0923T|UB|95.0|20250101
0924T|UA|55.0|20250101
0924T|UB|85.0|20250101
0925T|UA|55.0|20250101
0925T|UB|85.0|20250101
0933T|UB|95.0|20250101
0933T|UA|65.0|20250101
0935T|UB|65.0|20250101
0935T|UA|35.0|20250101
0941T|UA|35.0|20250101
0941T|UB|65.0|20250101
0942T|UA|35.0|20250101
0942T|UB|65.0|20250101
0943T|UA|35.0|20250101
0943T|UB|65.0|20250101
10004|UA|22.0|20250101
10004|UB|37.0|20250101
10005|UB|37.0|20250101
10005|UA|22.0|20250101
10006|UB|37.0|20250101
10006|UA|22.0|20250101
10007|UA|22.0|20250101
10007|UB|37.0|20250101
10008|UA|22.0|20250101
10008|UB|37.0|20250101
10009|UA|22.0|20250101
10009|UB|37.0|20250101
10010|UA|22.0|20250101
10010|UB|37.0|20250101
10011|UA|22.0|20250101
10011|UB|37.0|20250101
10012|UA|22.0|20250101
10012|UB|37.0|20250101
10021|UB|37.0|20250101
10021|UA|22.0|20250101
10022|UA|22.0|20250101
10022|UB|37.0|20250101
10030|UB|40.0|20250101
10030|UA|20.0|20250101
10035|UA|22.0|20250101
10035|UB|37.0|20250101
10036|UA|22.0|20250101
10036|UB|37.0|20250101
10040|UA|22.0|20250101
10040|UB|37.0|20250101
10060|UA|20.0|20250101
10060|UB|35.0|20250101
10061|UB|45.0|20250101
10061|UA|25.0|20250101
10080|UB|38.0|20250101
10080|UA|23.0|20250101
10081|UA|30.0|20250101
10081|UB|60.0|20250101
10120|UB|39.0|20250101
10120|UA|25.0|20250101
10121|UA|25.0|20250101
10121|UB|55.0|20250101
10140|UB|40.0|20250101
10140|UA|20.0|20250101
10160|UA|8.0|20250101
10160|UB|8.0|20250101
10180|UB|37.0|20250101
10180|UA|17.0|20250101
11000|UA|11.0|20250101
11000|UB|25.0|20250101
11001|UB|25.0|20250101
11001|UA|11.0|20250101
11004|UA|11.0|20250101
11004|UB|25.0|20250101
11005|UB|25.0|20250101
11005|UA|11.0|20250101
11006|UA|11.0|20250101
11006|UB|25.0|20250101
11008|UB|25.0|20250101
11008|UA|11.0|20250101
11010|UB|25.0|20250101
11010|UA|11.0|20250101
11011|UB|25.0|20250101
11011|UA|11.0|20250101
11012|UB|25.0|20250101
11012|UA|11.0|20250101
11042|UA|11.0|20250101
11042|UB|25.0|20250101
11043|UA|11.0|20250101
11043|UB|25.0|20250101
11044|UB|25.0|20250101
11044|UA|11.0|20250101
11045|UA|11.0|20250101
11045|UB|25.0|20250101
11046|UA|11.0|20250101
11046|UB|25.0|20250101
11047|UB|25.0|20250101
11047|UA|11.0|20250101
11055|UA|7.0|20250101
11055|UB|7.0|20250101
11056|UA|7.0|20250101
11056|UB|7.0|20250101
11057|UA|7.0|20250101
11057|UB|7.0|20250101
11100|UA|17.0|20250101
11100|UB|31.0|20250101
11101|UA|17.0|20250101
11101|UB|37.0|20250101
11102|UB|31.0|20250101
11102|UA|17.0|20250101
11103|UA|17.0|20250101
11103|UB|31.0|20250101
11104|UA|17.0|20250101
11104|UB|31.0|20250101
11105|UB|31.0|20250101
11105|UA|17.0|20250101
11106|UB|31.0|20250101
11106|UA|17.0|20250101
11107|UB|31.0|20250101
11107|UA|17.0|20250101
11200|UB|27.0|20250101
11200|UA|13.0|20250101
11201|UB|33.0|20250101
11201|UA|13.0|20250101
11300|UB|13.0|20250101
11300|UA|13.0|20250101
11301|UB|13.0|20250101
11301|UA|13.0|20250101
11302|UB|13.0|20250101
11302|UA|13.0|20250101
11303|UA|13.0|20250101
11303|UB|13.0|20250101
11305|UA|13.0|20250101
11305|UB|13.0|20250101
11306|UB|13.0|20250101
11306|UA|13.0|20250101
11307|UB|13.0|20250101
11307|UA|13.0|20250101
11308|UB|13.0|20250101
11308|UA|13.0|20250101
11310|UB|13.0|20250101
11310|UA|13.0|20250101
11311|UB|13.0|20250101
11311|UA|13.0|20250101
11312|UB|13.0|20250101
11312|UA|13.0|20250101
11313|UB|13.0|20250101
11313|UA|13.0|20250101
11400|UA|19.0|20250101
11400|UB|33.0|20250101
11401|UB|33.0|20250101
11401|UA|19.0|20250101
11402|UA|19.0|20250101
11402|UB|33.0|20250101
11403|UB|33.0|20250101
11403|UA|19.0|20250101
11404|UA|19.0|20250101
11404|UB|33.0|20250101
11406|UA|19.0|20250101
11406|UB|33.0|20250101
11420|UB|33.0|20250101
11420|UA|19.0|20250101
11421|UB|33.0|20250101
11421|UA|19.0|20250101
11422|UB|33.0|20250101
11422|UA|19.0|20250101
11423|UA|19.0|20250101
11423|UB|33.0|20250101
11424|UB|33.0|20250101
11424|UA|19.0|20250101
11426|UB|39.0|20250101
11426|UA|19.0|20250101
11440|UB|41.0|20250101
11440|UA|21.0|20250101
11441|UA|21.0|20250101
11441|UB|41.0|20250101
11442|UB|41.0|20250101
11442|UA|21.0|20250101
11443|UA|21.0|20250101
11443|UB|41.0|20250101
11444|UB|41.0|20250101
11444|UA|21.0|20250101
11446|UB|41.0|20250101
11446|UA|21.0|20250101
11450|UA|21.0|20250101
11450|UB|41.0|20250101
11451|UB|45.0|20250101
11451|UA|25.0|20250101
11462|UB|41.0|20250101
11462|UA|21.0|20250101
11463|UB|45.0|20250101
11463|UA|25.0|20250101
11470|UB|41.0|20250101
11470|UA|21.0|20250101
11471|UA|25.0|20250101
11471|UB|45.0|20250101
11600|UA|20.0|20250101
11600|UB|40.0|20250101
11601|UA|20.0|20250101
11601|UB|40.0|20250101
11602|UB|40.0|20250101
11602|UA|20.0|20250101
11603|UA|20.0|20250101
11603|UB|40.0|20250101
11604|UB|40.0|20250101
11604|UA|20.0|20250101
11606|UA|20.0|20250101
11606|UB|40.0|20250101
11620|UA|20.0|20250101
11620|UB|40.0|20250101
11621|UA|20.0|20250101
11621|UB|40.0|20250101
11622|UB|40.0|20250101
11622|UA|20.0|20250101
11623|UB|40.0|20250101
11623|UA|20.0|20250101
11624|UB|40.0|20250101
11624|UA|20.0|20250101
11626|UA|20.0|20250101
11626|UB|40.0|20250101
11640|UA|22.0|20250101
11640|UB|42.0|20250101
11641|UB|42.0|20250101
11641|UA|22.0|20250101
11642|UB|42.0|20250101
11642|UA|22.0|20250101
11643|UA|22.0|20250101
11643|UB|42.0|20250101
11644|UA|22.0|20250101
11644|UB|42.0|20250101
11646|UB|42.0|20250101
11646|UA|22.0|20250101
11719|UB|9.0|20250101
11719|UA|9.0|20250101
11720|UB|9.0|20250101
11720|UA|9.0|20250101
11721|UB|13.0|20250101
11721|UA|13.0|20250101
11730|UB|35.0|20250101
11730|UA|15.0|20250101
11732|UB|35.0|20250101
11732|UA|15.0|20250101
11740|UB|11.0|20250101
11740|UA|11.0|20250101
11750|UA|24.0|20250101
11750|UB|44.0|20250101
11755|UA|25.0|20250101
11755|UB|55.0|20250101
11760|UB|65.0|20250101
11760|UA|35.0|20250101
11762|UB|65.0|20250101
11762|UA|35.0|20250101
11765|UA|22.0|20250101
11765|UB|52.0|20250101
11770|UB|47.0|20250101
11770|UA|27.0|20250101
11771|UA|35.0|20250101
11771|UB|55.0|20250101
11772|UA|35.0|20250101
11772|UB|55.0|20250101
11900|UA|9.0|20250101
11900|UB|9.0|20250101
11901|UB|9.0|20250101
11901|UA|9.0|20250101
11950|UB|9.0|20250101
11950|UA|9.0|20250101
11951|UB|9.0|20250101
11951|UA|9.0|20250101
11952|UA|9.0|20250101
11952|UB|9.0|20250101
11954|UB|9.0|20250101
11954|UA|9.0|20250101
11960|UB|9.0|20250101
11960|UA|9.0|20250101
11970|UA|14.0|20250101
11970|UB|44.0|20250101
11971|UB|44.0|20250101
11971|UA|14.0|20250101
11976|UB|47.0|20250101
11976|UA|17.0|20250101
11980|UA|19.0|20250101
11980|UB|45.0|20250101
11981|UB|45.0|20250101
11981|UA|19.0|20250101
11982|UA|19.0|20250101
11982|UB|45.0|20250101
11983|UB|45.0|20250101
11983|UA|19.0|20250101
12001|UA|17.0|20250101
12001|UB|37.0|20250101
12002|UB|37.0|20250101
12002|UA|17.0|20250101
12004|UB|37.0|20250101
12004|UA|17.0|20250101
12005|UA|20.0|20250101
12005|UB|40.0|20250101
12006|UB|40.0|20250101
12006|UA|20.0|20250101
12007|UB|40.0|20250101
12007|UA|20.0|20250101
12011|UB|43.0|20250101
12011|UA|23.0|20250101
12013|UB|43.0|20250101
12013|UA|23.0|20250101
12014|UA|23.0|20250101
12014|UB|43.0|20250101
12015|UB|43.0|20250101
12015|UA|23.0|20250101
12016|UB|46.0|20250101
12016|UA|26.0|20250101
12017|UA|26.0|20250101
12017|UB|46.0|20250101
12018|UB|46.0|20250101
12018|UA|26.0|20250101
12020|UA|25.0|20250101
12020|UB|55.0|20250101
12021|UB|55.0|20250101
12021|UA|25.0|20250101
12031|UB|40.0|20250101
12031|UA|20.0|20250101
12032|UB|40.0|20250101
12032|UA|20.0|20250101
12034|UB|40.0|20250101
12034|UA|20.0|20250101
12035|UA|23.0|20250101
12035|UB|43.0|20250101
12036|UA|23.0|20250101
12036|UB|43.0|20250101
12037|UB|43.0|20250101
12037|UA|23.0|20250101
12041|UB|42.0|20250101
12041|UA|22.0|20250101
12042|UB|42.0|20250101
12042|UA|22.0|20250101
12044|UB|42.0|20250101
12044|UA|22.0|20250101
12045|UA|24.0|20250101
12045|UB|44.0|20250101
12046|UB|44.0|20250101
12046|UA|24.0|20250101
12047|UA|24.0|20250101
12047|UB|44.0|20250101
12051|UB|46.0|20250101
12051|UA|26.0|20250101
12052|UB|46.0|20250101
12052|UA|26.0|20250101
12053|UB|46.0|20250101
12053|UA|26.0|20250101
12054|UA|26.0|20250101
12054|UB|46.0|20250101
12055|UB|50.0|20250101
12055|UA|30.0|20250101
12056|UA|30.0|20250101
12056|UB|50.0|20250101
12057|UB|50.0|20250101
12057|UA|30.0|20250101
13100|UA|26.0|20250101
13100|UB|46.0|20250101
13101|UB|46.0|20250101
13101|UA|26.0|20250101
13102|UB|46.0|20250101
13102|UA|26.0|20250101
13120|UB|46.0|20250101
13120|UA|26.0|20250101
13121|UB|46.0|20250101
13121|UA|26.0|20250101
13122|UB|46.0|20250101
13122|UA|26.0|20250101
13131|UA|28.0|20250101
13131|UB|48.0|20250101
13132|UB|48.0|20250101
13132|UA|28.0|20250101
13133|UA|28.0|20250101
13133|UB|48.0|20250101
13151|UA|30.0|20250101
13151|UB|50.0|20250101
13152|UA|30.0|20250101
13152|UB|50.0|20250101
13153|UA|30.0|20250101
13153|UB|50.0|20250101
